"Flight.Type","Airline","TotalFlight.x","TotalFlight.y","PercDelay","Type"
"Domestic","AVIANCA BRASIL",177384,25896,0.15,"Departure"
"Domestic","AZUL",536543,57846,0.11,"Departure"
"Domestic","FLYWAYS",1533,120,0.08,"Departure"
"Domestic","GOL",544182,67410,0.12,"Departure"
"Domestic","MAP LINHAS AEREAS",3503,1009,0.29,"Departure"
"Domestic","TAM",342762,43832,0.13,"Departure"
"Domestic","TOTAL",1295,614,0.47,"Departure"
"International","AEROLINEAS ARGENTINAS",15747,1020,0.06,"Departure"
"International","AEROMEXICO",2109,154,0.07,"Departure"
"International","AIR CANADA",2424,357,0.15,"Departure"
"International","AIR CHINA",535,186,0.35,"Departure"
"International","AIR EUROPA S/A",2534,1191,0.47,"Departure"
"International","AIR FRANCE",6614,820,0.12,"Departure"
"International","AIRES - LAN COLOMBIA",1214,48,0.04,"Departure"
"International","ALITALIA",3677,913,0.25,"Departure"
"International","AMERICAN AIRLINES INC",22445,4218,0.19,"Departure"
"International","AUSTRAL LINEAS AêREAS CIELOS DEL SUR S.A",8373,702,0.08,"Departure"
"International","AVIANCA",5551,1075,0.19,"Departure"
"International","AVIANCA BRASIL",515,187,0.36,"Departure"
"International","AZUL",6602,1057,0.16,"Departure"
"International","BOLIVIANA DE AVIACION",1987,54,0.03,"Departure"
"International","BRITISH AIRWAYS PLC",3852,250,0.06,"Departure"
"International","CONDOR FLUGDINST",980,354,0.36,"Departure"
"International","COPA -COMPANIA PANAMENA DE AVIACION",20323,516,0.03,"Departure"
"International","DELTA AIRLINES",8714,1274,0.15,"Departure"
"International","EDELWEISS",268,27,0.1,"Departure"
"International","EMIRATES",5622,449,0.08,"Departure"
"International","EMPRESA DE TRANSPORTES AEREOS DE CABO VERDE S.A.",902,73,0.08,"Departure"
"International","ETHIOPIAN",721,97,0.13,"Departure"
"International","ETIHAD",1664,267,0.16,"Departure"
"International","GOL",35187,3431,0.1,"Departure"
"International","IBERIA",3921,205,0.05,"Departure"
"International","INSELAIR",663,422,0.64,"Departure"
"International","KLM ROYAL DUTCH AIRLINES",3383,374,0.11,"Departure"
"International","KOREAN AIRLINES",974,154,0.16,"Departure"
"International","LAN ARGENTINA S/A",2442,260,0.11,"Departure"
"International","LAN CHILE",9129,682,0.07,"Departure"
"International","LAN PERU S/A",3525,231,0.07,"Departure"
"International","LINEAS AE.COSTARRICENCES S/A",95,5,0.05,"Departure"
"International","LUFTHANSA",4722,213,0.05,"Departure"
"International","MERIDIANA",211,61,0.29,"Departure"
"International","NAO INFORMADO",1784,92,0.05,"Departure"
"International","QATAR AIRWAYS",3194,327,0.1,"Departure"
"International","ROYAL AIR MAROC",952,252,0.26,"Departure"
"International","SINGAPORE AIRLINES",563,21,0.04,"Departure"
"International","SOUTH µFRICAN AIRWAYS",2665,444,0.17,"Departure"
"International","SURINAM AIRWAYS",1012,226,0.22,"Departure"
"International","SWISSAIR",1829,121,0.07,"Departure"
"International","TAAG LINHAS AEREAS DE ANGOLA",1747,606,0.35,"Departure"
"International","TAM",65800,7285,0.11,"Departure"
"International","TAM TRANSP. AR. DEL. MERCOS",3682,421,0.11,"Departure"
"International","TAP AIR PORTUGAL",17330,1215,0.07,"Departure"
"International","TRASAMERICA  AIRLINES-TACAPERU",5647,867,0.15,"Departure"
"International","TURKISH AIRLINES INC.",3511,668,0.19,"Departure"
"International","UNITED AIRLINES",9082,1305,0.14,"Departure"
"International","US AIRWAYS INC.",621,8,0.01,"Departure"
"Regional","AZUL",92820,0,0,"Departure"
"Regional","GOL",66358,1,0,"Departure"
"Regional","MAP LINHAS AEREAS",11506,4,0,"Departure"
"Regional","PASSAREDO",58105,13569,0.23,"Departure"
"Regional","SETE",7209,650,0.09,"Departure"
"Regional","TAM",103065,14540,0.14,"Departure"
"Regional","TOTAL",4,2,0.5,"Departure"
"Regional","TRIP",10,0,0,"Departure"
